epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,259.731,1.43396,0.96752,1.24449,0.80083,0.60165,0.69999,0.30886,2.061,1.20011,1.81722,0.000649046,0.000649046,0.000649046
44,266.589,1.38839,0.95308,1.25563,0.8497,0.56845,0.69902,0.31962,1.98947,1.23095,1.75485,0.000638047,0.000638047,0.000638047
45,272.899,1.41549,0.92649,1.23038,0.81486,0.5728,0.69741,0.33136,1.97114,1.2458,1.77123,0.000627048,0.000627048,0.000627048
46,279.203,1.41143,0.94216,1.24211,0.78977,0.56227,0.68147,0.30964,2.05261,1.28719,1.87543,0.000616049,0.000616049,0.000616049
47,285.197,1.40282,0.93722,1.22454,0.80638,0.51923,0.66364,0.27173,2.08249,1.36841,1.86112,0.000605051,0.000605051,0.000605051
48,291.156,1.34761,0.89291,1.21793,0.83476,0.62248,0.74473,0.30949,2.03325,1.2908,1.85233,0.000594052,0.000594052,0.000594052
49,297.628,1.34967,0.91586,1.21438,0.75885,0.62912,0.69499,0.32385,2.00087,1.18738,1.82485,0.000583053,0.000583053,0.000583053
50,303.545,1.40032,0.9164,1.22238,0.77037,0.61355,0.72473,0.32359,2.11406,1.22058,1.88578,0.000572054,0.000572054,0.000572054
51,309.453,1.3775,0.91713,1.19301,0.81161,0.45604,0.64099,0.28437,2.08475,1.40696,1.83128,0.000561055,0.000561055,0.000561055
52,315.162,1.34494,0.89299,1.20005,0.89444,0.63668,0.76728,0.33276,2.0979,1.18584,1.88094,0.000550056,0.000550056,0.000550056
53,320.682,1.34839,0.87087,1.19239,0.77899,0.5831,0.68775,0.33099,2.03942,1.25137,1.83878,0.000539057,0.000539057,0.000539057
54,326.66,1.30806,0.85381,1.19043,0.80876,0.62248,0.73495,0.34437,2.03942,1.17125,1.85281,0.000528058,0.000528058,0.000528058
55,333.282,1.31581,0.85293,1.20117,0.82449,0.63439,0.74917,0.33221,2.07286,1.25675,1.88245,0.000517059,0.000517059,0.000517059
56,339.354,1.28895,0.84543,1.19532,0.78512,0.70948,0.74573,0.31941,2.08154,1.15369,1.90562,0.00050606,0.00050606,0.00050606
57,345.039,1.27042,0.83771,1.15597,0.83516,0.66117,0.74781,0.3343,2.11196,1.11755,1.91851,0.000495062,0.000495062,0.000495062
58,350.911,1.2638,0.82705,1.17342,0.77355,0.58057,0.6977,0.29408,2.20402,1.22155,2.06505,0.000484063,0.000484063,0.000484063
59,357.089,1.29546,0.82717,1.1744,0.82112,0.59993,0.72087,0.31212,2.08258,1.20495,1.92239,0.000473064,0.000473064,0.000473064
60,363.43,1.25488,0.81153,1.17215,0.79232,0.61351,0.73054,0.32258,2.07031,1.15768,1.88669,0.000462065,0.000462065,0.000462065
61,369.758,1.23932,0.79602,1.15634,0.80623,0.60989,0.71526,0.32218,2.03687,1.14613,1.89494,0.000451066,0.000451066,0.000451066
62,375.408,1.27465,0.81843,1.15045,0.76313,0.6337,0.7141,0.31503,2.07368,1.19367,1.9047,0.000440067,0.000440067,0.000440067
63,380.853,1.22015,0.8089,1.12771,0.77924,0.68429,0.73602,0.31561,2.12195,1.13335,1.9994,0.000429068,0.000429068,0.000429068
64,386.996,1.1634,0.77356,1.12454,0.82335,0.60256,0.71143,0.34345,2.07807,1.09881,1.92397,0.000418069,0.000418069,0.000418069
65,392.866,1.22233,0.77653,1.11203,0.86733,0.64189,0.74673,0.34517,2.00077,1.13669,1.887,0.00040707,0.00040707,0.00040707
66,398.912,1.22187,0.76854,1.1253,0.80053,0.63736,0.72222,0.32586,2.07042,1.18004,2.00618,0.000396071,0.000396071,0.000396071
