epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,13380.2,0.90112,0.46271,1.08087,0.8398,0.87429,0.90162,0.61235,1.48534,0.71663,1.59062,0.00051448,0.00051448,0.00051448
43,13698.1,0.89424,0.45769,1.07878,0.85567,0.85426,0.89462,0.61003,1.48893,0.72475,1.58948,0.000502481,0.000502481,0.000502481
44,14015.9,0.88058,0.45506,1.07494,0.83854,0.85661,0.89379,0.60809,1.48881,0.73166,1.61142,0.000490385,0.000490385,0.000490385
45,14333.9,0.86937,0.44038,1.06606,0.84334,0.86321,0.88688,0.61231,1.48452,0.72062,1.59779,0.000478203,0.000478203,0.000478203
46,14652,0.86801,0.44369,1.06276,0.86332,0.8583,0.88776,0.60686,1.49073,0.74003,1.6155,0.000465948,0.000465948,0.000465948
47,14970.5,0.84475,0.43132,1.05126,0.87373,0.8469,0.89361,0.6111,1.49607,0.71879,1.62918,0.000453632,0.000453632,0.000453632
48,15330.7,0.83936,0.42681,1.04965,0.84561,0.86563,0.89184,0.61322,1.48801,0.72803,1.6117,0.000441267,0.000441267,0.000441267
49,15695.7,0.82821,0.42535,1.03981,0.88321,0.82908,0.88776,0.6087,1.49962,0.72964,1.63264,0.000428865,0.000428865,0.000428865
50,16060.9,0.81548,0.41623,1.02878,0.86739,0.83819,0.89931,0.61542,1.49145,0.72227,1.62531,0.000416439,0.000416439,0.000416439
51,16391.3,0.80203,0.41001,1.03033,0.84135,0.87329,0.89301,0.61656,1.4933,0.72696,1.65248,0.000404,0.000404,0.000404
52,16747.2,0.78328,0.40387,1.02249,0.86094,0.85869,0.89143,0.61553,1.48945,0.73704,1.65679,0.000391561,0.000391561,0.000391561
53,17125.5,0.78669,0.40636,1.0225,0.84619,0.8598,0.88682,0.60967,1.48568,0.73219,1.62865,0.000379135,0.000379135,0.000379135
54,18184.4,0.77884,0.40101,1.01615,0.84717,0.85654,0.8853,0.61073,1.49285,0.73751,1.6561,0.000366733,0.000366733,0.000366733
55,18562.7,0.77533,0.39673,1.01039,0.88264,0.83341,0.89628,0.61565,1.49664,0.73444,1.65402,0.000354368,0.000354368,0.000354368
56,18948.3,0.75868,0.38896,1.00284,0.88036,0.84157,0.89298,0.61266,1.4978,0.73259,1.66576,0.000342052,0.000342052,0.000342052
57,19326.2,0.74376,0.38024,0.99609,0.87013,0.84782,0.89025,0.61303,1.50074,0.74307,1.68279,0.000329797,0.000329797,0.000329797
58,19704.1,0.74309,0.38187,0.99796,0.86007,0.84629,0.88454,0.61037,1.49977,0.76067,1.68414,0.000317615,0.000317615,0.000317615
59,20818.2,0.72994,0.37638,0.9908,0.8391,0.86449,0.88579,0.61294,1.49646,0.75868,1.67914,0.000305519,0.000305519,0.000305519
60,21924.7,0.72189,0.37223,0.98708,0.86057,0.84584,0.8919,0.61563,1.50043,0.74422,1.6946,0.00029352,0.00029352,0.00029352
61,22302.7,0.71323,0.37104,0.98439,0.84895,0.87003,0.89289,0.61578,1.49405,0.75043,1.6865,0.000281629,0.000281629,0.000281629
62,22680.7,0.70757,0.36596,0.98243,0.84678,0.85713,0.89046,0.61428,1.4928,0.75744,1.69457,0.00026986,0.00026986,0.00026986
