epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,331.466,1.45623,1.35264,1.62119,0.58807,0.64351,0.74708,0.39978,1.36872,1.16106,1.67301,0.000582267,0.000582267,0.000582267
43,339.168,1.44331,1.33977,1.62628,0.77008,0.59912,0.74562,0.36952,1.46598,1.23617,1.77467,0.000579054,0.000579054,0.000579054
44,347.001,1.4431,1.30461,1.61674,0.89937,0.55791,0.69147,0.37378,1.48977,1.18144,1.79436,0.000575841,0.000575841,0.000575841
45,354.749,1.47016,1.34938,1.65367,0.81365,0.61075,0.73618,0.44209,1.33863,1.20252,1.62567,0.000572628,0.000572628,0.000572628
46,362.501,1.42838,1.29758,1.59522,0.61607,0.76481,0.71583,0.41972,1.48595,1.08175,1.74935,0.000569415,0.000569415,0.000569415
47,370.238,1.43017,1.26862,1.60834,0.81406,0.69329,0.78635,0.45586,1.38759,1.11836,1.7282,0.000566202,0.000566202,0.000566202
48,378.093,1.42928,1.3046,1.59572,0.80607,0.76879,0.7899,0.43463,1.35408,1.08715,1.64414,0.000562989,0.000562989,0.000562989
49,386.11,1.43036,1.30023,1.61095,0.63103,0.68714,0.70136,0.36888,1.46244,1.14637,1.81178,0.000559776,0.000559776,0.000559776
50,393.978,1.4096,1.28819,1.59207,0.82352,0.61907,0.68993,0.39518,1.42016,1.25349,1.71769,0.000556563,0.000556563,0.000556563
51,402.071,1.38817,1.23087,1.57107,0.52328,0.60925,0.6756,0.34245,1.54533,1.42581,1.83224,0.00055335,0.00055335,0.00055335
52,409.795,1.39397,1.23517,1.5734,0.68901,0.60674,0.6986,0.39246,1.2996,1.17529,1.65137,0.000550137,0.000550137,0.000550137
53,417.544,1.39826,1.26656,1.59417,0.63008,0.49839,0.62397,0.35665,1.40361,1.27455,1.69821,0.000546924,0.000546924,0.000546924
54,425.275,1.38531,1.23666,1.5948,0.57589,0.62547,0.75147,0.41766,1.46753,1.27417,1.71403,0.000543711,0.000543711,0.000543711
55,432.995,1.40587,1.24843,1.58502,0.94382,0.47077,0.7649,0.48252,1.2831,1.17268,1.59182,0.000540498,0.000540498,0.000540498
56,440.768,1.36361,1.22386,1.55699,0.69299,0.63982,0.69317,0.41099,1.33123,1.16354,1.62521,0.000537285,0.000537285,0.000537285
57,448.703,1.37392,1.2224,1.57346,0.77761,0.50113,0.62263,0.37564,1.31001,1.316,1.68119,0.000534072,0.000534072,0.000534072
58,456.444,1.37844,1.22716,1.57032,0.81083,0.76601,0.8095,0.44417,1.45772,0.99831,1.7597,0.000530859,0.000530859,0.000530859
59,464.676,1.35388,1.21676,1.5476,0.74907,0.52679,0.71075,0.41363,1.47667,1.40558,1.78863,0.000527646,0.000527646,0.000527646
60,472.789,1.36727,1.2167,1.56297,0.61347,0.62438,0.71034,0.43864,1.33925,1.42326,1.7024,0.000524433,0.000524433,0.000524433
61,480.861,1.35529,1.18275,1.54857,0.66154,0.65581,0.72219,0.42056,1.27757,1.38764,1.64573,0.00052122,0.00052122,0.00052122
62,488.626,1.33772,1.19054,1.54945,0.64998,0.55439,0.7431,0.4328,1.41965,1.18977,1.71477,0.000518007,0.000518007,0.000518007
63,496.758,1.37417,1.21958,1.56063,0.56249,0.75117,0.75172,0.46123,1.42498,1.25128,1.7605,0.000514794,0.000514794,0.000514794
64,504.871,1.33993,1.20954,1.54517,0.92031,0.55441,0.76191,0.46227,1.26963,1.09424,1.62665,0.000511581,0.000511581,0.000511581
65,512.756,1.33588,1.15573,1.52864,0.75062,0.60684,0.77417,0.44985,1.30195,1.14436,1.66534,0.000508368,0.000508368,0.000508368
66,520.741,1.32942,1.1538,1.54434,0.79374,0.64173,0.73101,0.45968,1.31059,1.09101,1.6564,0.000505155,0.000505155,0.000505155
67,528.44,1.33155,1.17631,1.54067,0.50243,0.60008,0.64624,0.36623,1.34116,1.28511,1.66398,0.000501942,0.000501942,0.000501942
68,536.246,1.34863,1.15427,1.54295,0.7644,0.64272,0.7743,0.44138,1.56183,1.12986,1.82758,0.000498729,0.000498729,0.000498729
69,544.183,1.3448,1.14502,1.52841,0.78057,0.57524,0.71776,0.43718,1.32008,1.22826,1.58003,0.000495516,0.000495516,0.000495516
70,551.952,1.34024,1.15644,1.52473,0.4766,0.72373,0.69467,0.41667,1.32424,1.14609,1.62689,0.000492303,0.000492303,0.000492303
71,559.733,1.32869,1.14372,1.52714,0.69192,0.605,0.71924,0.37657,1.46684,1.25061,1.74879,0.00048909,0.00048909,0.00048909
72,567.705,1.33702,1.15439,1.52182,0.84703,0.57252,0.76458,0.4506,1.51044,1.21786,1.75793,0.000485877,0.000485877,0.000485877
73,575.745,1.31943,1.13877,1.50184,0.81795,0.62919,0.76412,0.44466,1.37472,1.1297,1.69857,0.000482664,0.000482664,0.000482664
74,583.439,1.31462,1.14061,1.51089,0.56262,0.7394,0.75321,0.40989,1.40875,1.19371,1.69682,0.000479451,0.000479451,0.000479451
75,591.588,1.28574,1.08311,1.47217,0.66002,0.68746,0.74853,0.40207,1.55363,1.24081,1.77408,0.000476238,0.000476238,0.000476238
76,599.419,1.29319,1.13539,1.49479,0.63791,0.70089,0.74674,0.43443,1.37342,1.23541,1.68897,0.000473025,0.000473025,0.000473025
77,607.199,1.31654,1.11963,1.51041,0.5873,0.80208,0.79697,0.46297,1.45632,0.97593,1.74174,0.000469812,0.000469812,0.000469812
78,615.285,1.30298,1.12704,1.49321,0.90883,0.55232,0.78342,0.43462,1.33553,1.35601,1.67272,0.000466599,0.000466599,0.000466599
79,623.403,1.29344,1.08875,1.49185,0.59681,0.74295,0.80806,0.49301,1.33401,1.06055,1.63766,0.000463386,0.000463386,0.000463386
80,631.192,1.28275,1.07068,1.47494,0.79452,0.70553,0.7753,0.44565,1.27655,1.04074,1.6191,0.000460173,0.000460173,0.000460173
81,639.326,1.29387,1.10029,1.50399,0.80381,0.60459,0.74154,0.42431,1.43222,1.09745,1.72439,0.00045696,0.00045696,0.00045696
82,647.157,1.312,1.11565,1.50973,0.89548,0.52091,0.74254,0.41162,1.48022,1.19056,1.81138,0.000453747,0.000453747,0.000453747
83,654.921,1.29166,1.11611,1.49603,0.58809,0.78537,0.76066,0.48267,1.48576,1.20741,1.80082,0.000450534,0.000450534,0.000450534
84,663.003,1.29654,1.10222,1.49076,0.72647,0.62731,0.73106,0.44068,1.36234,1.07172,1.6659,0.000447321,0.000447321,0.000447321
85,670.749,1.2797,1.07586,1.48822,0.44695,0.75945,0.65665,0.39346,1.32064,1.21608,1.62685,0.000444108,0.000444108,0.000444108
86,678.535,1.27344,1.07031,1.46961,0.47578,0.72657,0.75145,0.43622,1.43571,1.25599,1.72666,0.000440895,0.000440895,0.000440895
87,686.313,1.27155,1.06183,1.46257,0.85402,0.60007,0.73281,0.44147,1.42048,1.09488,1.70624,0.000437682,0.000437682,0.000437682
88,694.419,1.27996,1.07148,1.47844,0.63524,0.64979,0.75601,0.40441,1.40514,1.33206,1.70285,0.000434469,0.000434469,0.000434469
89,702.371,1.29787,1.09777,1.50766,0.75269,0.68724,0.81224,0.45752,1.35038,0.94335,1.67097,0.000431256,0.000431256,0.000431256
90,710.136,1.28075,1.07563,1.48508,0.67563,0.71415,0.82305,0.48334,1.16465,1.02381,1.56396,0.000428043,0.000428043,0.000428043
91,717.886,1.2846,1.0812,1.47378,0.5205,0.74479,0.76386,0.4463,1.42166,1.12482,1.6974,0.00042483,0.00042483,0.00042483
92,725.883,1.2391,1.01201,1.43699,0.60768,0.81771,0.82755,0.47544,1.40985,1.01034,1.7095,0.000421617,0.000421617,0.000421617
93,733.941,1.23173,1.03077,1.44786,0.62088,0.73442,0.80348,0.45672,1.35648,1.06451,1.65059,0.000418404,0.000418404,0.000418404
94,742.087,1.25438,1.05399,1.46942,0.789,0.68914,0.77399,0.4494,1.2999,0.964,1.62725,0.000415191,0.000415191,0.000415191
95,750.274,1.24522,1.05077,1.47118,0.85608,0.71028,0.76017,0.45266,1.40027,1.10173,1.70566,0.000411978,0.000411978,0.000411978
96,758.503,1.30147,1.08572,1.47258,0.70994,0.49376,0.76537,0.45498,1.35691,1.21986,1.63857,0.000408765,0.000408765,0.000408765
97,766.563,1.24913,1.02911,1.44689,0.67982,0.78151,0.78864,0.47684,1.40792,1.09074,1.70292,0.000405552,0.000405552,0.000405552
98,774.304,1.26064,1.03163,1.46165,0.52472,0.73934,0.71712,0.43579,1.33661,1.02865,1.58617,0.000402339,0.000402339,0.000402339
99,782.2,1.23809,1.02435,1.45128,0.72701,0.74142,0.79062,0.50762,1.25835,1.00576,1.57042,0.000399126,0.000399126,0.000399126
100,790.075,1.2363,0.99591,1.4481,0.55862,0.67332,0.71003,0.44845,1.27247,1.10734,1.5626,0.000395913,0.000395913,0.000395913
101,797.844,1.22565,1.00684,1.44979,0.47319,0.80208,0.7534,0.49466,1.25082,0.99671,1.57221,0.0003927,0.0003927,0.0003927
102,805.605,1.21898,1.00208,1.4372,0.6386,0.79064,0.70227,0.42045,1.30875,1.13036,1.62955,0.000389487,0.000389487,0.000389487
103,813.337,1.21669,0.9831,1.42353,0.56997,0.74949,0.75353,0.45197,1.35186,1.19014,1.65561,0.000386274,0.000386274,0.000386274
104,821.114,1.22441,0.98748,1.43757,0.66468,0.7954,0.74674,0.44481,1.41652,1.00885,1.71266,0.000383061,0.000383061,0.000383061
105,829.124,1.22239,0.98454,1.42872,0.80001,0.61368,0.73519,0.43416,1.29706,1.04088,1.58574,0.000379848,0.000379848,0.000379848
106,836.958,1.21014,0.97216,1.41852,0.56773,0.79508,0.79425,0.46007,1.47864,1.06876,1.70059,0.000376635,0.000376635,0.000376635
107,844.921,1.21744,0.99673,1.43141,0.74651,0.66332,0.79698,0.4998,1.37913,0.92299,1.66186,0.000373422,0.000373422,0.000373422
108,852.821,1.23305,1.01713,1.43721,0.74246,0.63348,0.79706,0.47764,1.30699,1.00946,1.64017,0.000370209,0.000370209,0.000370209
109,860.781,1.20794,0.9897,1.41281,0.73757,0.61266,0.73973,0.46193,1.33165,1.24204,1.66901,0.000366996,0.000366996,0.000366996
